circuit_type,cnot_count,sq_gate_count,backend,error_rate,is_kingston
bell_state,1,1,ibm_fez,3.32,0
bell_state,1,1,ibm_fez,3.61,0
bell_state,1,1,ibm_fez,4.0,0
bell_state,1,1,ibm_fez,3.71,0
bell_state,1,1,ibm_fez,3.61,0
bell_state,1,1,ibm_fez,4.49,0
bell_state,1,1,ibm_fez,4.88,0
bell_state,1,1,ibm_fez,4.59,0
bell_state,1,1,ibm_fez,3.91,0
bell_state,1,1,ibm_fez,3.52,0
bell_state,1,1,ibm_fez,3.52,0
bell_state,1,1,ibm_fez,3.91,0
bell_state,1,1,ibm_fez,3.61,0
bell_state,1,1,ibm_fez,2.44,0
bell_state,1,1,ibm_fez,3.91,0
ghz_state,2,1,ibm_fez,5.76,0
ghz_state,2,1,ibm_fez,4.88,0
ghz_state,2,1,ibm_fez,6.15,0
ghz_state,2,1,ibm_fez,4.98,0
ghz_state,2,1,ibm_fez,5.57,0
ghz_state,2,1,ibm_fez,6.64,0
ghz_state,2,1,ibm_fez,6.35,0
ghz_state,2,1,ibm_fez,6.05,0
ghz_state,2,1,ibm_fez,4.2,0
ghz_state,2,1,ibm_fez,4.69,0
ghz_state,2,1,ibm_fez,5.08,0
ghz_state,2,1,ibm_fez,6.25,0
ghz_state,2,1,ibm_fez,6.93,0
ghz_state,2,1,ibm_fez,5.57,0
ghz_state,2,1,ibm_fez,5.47,0
ghz_state_4q,3,1,ibm_kingston,4.1,1
ghz_state_4q,3,1,ibm_kingston,4.1,1
ghz_state_4q,3,1,ibm_kingston,5.37,1
ghz_state_4q,3,1,ibm_kingston,5.27,1
ghz_state_4q,3,1,ibm_kingston,5.08,1
ghz_state_4q,3,1,ibm_kingston,5.47,1
ghz_state_4q,3,1,ibm_kingston,4.39,1
ghz_state_4q,3,1,ibm_kingston,3.91,1
ghz_state_4q,3,1,ibm_kingston,4.3,1
ghz_state_4q,3,1,ibm_kingston,4.3,1
ghz_state_4q,3,1,ibm_kingston,5.08,1
ghz_state_4q,3,1,ibm_kingston,6.25,1
ghz_state_4q,3,1,ibm_kingston,5.86,1
ghz_state_4q,3,1,ibm_kingston,4.3,1
ghz_state_4q,3,1,ibm_kingston,6.25,1
ghz_state_5q,4,1,ibm_kingston,7.03,1
ghz_state_5q,4,1,ibm_kingston,6.25,1
ghz_state_5q,4,1,ibm_kingston,6.05,1
ghz_state_5q,4,1,ibm_kingston,7.13,1
ghz_state_5q,4,1,ibm_kingston,6.15,1
ghz_state_5q,4,1,ibm_kingston,5.76,1
ghz_state_5q,4,1,ibm_kingston,6.54,1
ghz_state_5q,4,1,ibm_kingston,6.64,1
ghz_state_5q,4,1,ibm_kingston,6.15,1
ghz_state_5q,4,1,ibm_kingston,5.47,1
ghz_state_5q,4,1,ibm_kingston,6.84,1
ghz_state_5q,4,1,ibm_kingston,6.45,1
ghz_state_5q,4,1,ibm_kingston,6.15,1
ghz_state_5q,4,1,ibm_kingston,6.64,1
ghz_state_5q,4,1,ibm_kingston,6.64,1
gate_stress_4,1,5,ibm_fez,6.84,0
gate_stress_4,1,5,ibm_fez,6.64,0
gate_stress_4,1,5,ibm_fez,6.05,0
gate_stress_4,1,5,ibm_fez,5.86,0
gate_stress_4,1,5,ibm_fez,5.57,0
gate_stress_4,1,5,ibm_fez,6.15,0
gate_stress_4,1,5,ibm_fez,5.37,0
gate_stress_4,1,5,ibm_fez,5.47,0
gate_stress_4,1,5,ibm_fez,6.25,0
gate_stress_4,1,5,ibm_fez,5.86,0
gate_stress_4,1,5,ibm_fez,7.71,0
gate_stress_4,1,5,ibm_fez,6.25,0
gate_stress_4,1,5,ibm_fez,6.15,0
gate_stress_4,1,5,ibm_fez,7.32,0
gate_stress_4,1,5,ibm_fez,6.15,0
gate_stress_8,1,9,ibm_fez,5.96,0
gate_stress_8,1,9,ibm_fez,5.37,0
gate_stress_8,1,9,ibm_fez,6.25,0
gate_stress_8,1,9,ibm_fez,5.66,0
gate_stress_8,1,9,ibm_fez,6.74,0
gate_stress_8,1,9,ibm_fez,4.98,0
gate_stress_8,1,9,ibm_fez,4.98,0
gate_stress_8,1,9,ibm_fez,5.57,0
gate_stress_8,1,9,ibm_fez,5.86,0
gate_stress_8,1,9,ibm_fez,6.15,0
gate_stress_8,1,9,ibm_fez,5.18,0
gate_stress_8,1,9,ibm_fez,6.45,0
gate_stress_8,1,9,ibm_fez,6.54,0
gate_stress_8,1,9,ibm_fez,6.15,0
gate_stress_8,1,9,ibm_fez,4.49,0
gate_stress_12,1,13,ibm_fez,6.74,0
gate_stress_12,1,13,ibm_fez,6.35,0
gate_stress_12,1,13,ibm_fez,6.35,0
gate_stress_12,1,13,ibm_fez,9.28,0
gate_stress_12,1,13,ibm_fez,6.45,0
gate_stress_12,1,13,ibm_fez,6.05,0
gate_stress_12,1,13,ibm_fez,6.84,0
gate_stress_12,1,13,ibm_fez,8.69,0
gate_stress_12,1,13,ibm_fez,6.74,0
gate_stress_12,1,13,ibm_fez,8.3,0
gate_stress_12,1,13,ibm_fez,7.52,0
gate_stress_12,1,13,ibm_fez,6.15,0
gate_stress_12,1,13,ibm_fez,6.15,0
gate_stress_12,1,13,ibm_fez,7.42,0
gate_stress_12,1,13,ibm_fez,7.03,0
